id,name,line_id,prefecture_id
954,羽前高松,38,6
955,柴橋,38,6
956,左沢,38,6
957,米沢,39,6
958,南米沢,39,6
959,西米沢,39,6
960,成島,39,6
961,中郡,39,6
962,羽前小松,39,6
963,犬川,39,6
964,今泉,39,6
965,萩生,39,6
966,羽前椿,39,6
967,手ノ子,39,6
968,羽前沼沢,39,6
969,伊佐領,39,6
970,羽前松岡,39,6
971,小国,39,6
972,越後金丸,39,15
973,越後片貝,39,15
974,越後下関,39,15
975,越後大島,39,15
976,坂町,39,15
977,新庄,40,6
978,升形,40,6
979,羽前前波,40,6
980,津谷,40,6
981,古口,40,6
982,高屋,40,6
983,清川,40,6
984,狩川,40,6
985,南野,40,6
986,余目,40,6
987,小牛田,41,4
988,北浦,41,4
989,陸前谷地,41,4
990,古川,41,4
991,塚目,41,4
992,西古川,41,4
993,東大崎,41,4
994,西大崎,41,4
995,岩出山,41,4
996,有備館,41,4
997,上野目,41,4
998,池月,41,4
999,川渡温泉,41,4
1000,鳴子御殿湯,41,4
1001,鳴子温泉,41,4
1002,中山平温泉,41,4
1003,堺田,41,6
1004,赤倉温泉,41,6
1005,立小路,41,6
1006,最上,41,6
1007,大堀,41,6
1008,鵜杉,41,6
1009,瀬見温泉,41,6
1010,東長沢,41,6
1011,長沢,41,6
1012,南新庄,41,6
1013,新庄,41,6
1014,あおば通,42,4
1015,仙台,42,4
1016,榴ケ岡,42,4
1017,宮城野原,42,4
1018,陸前原ノ町,42,4
1019,苦竹,42,4
1020,小鶴新田,42,4
1021,福田町,42,4
1022,陸前高砂,42,4
1023,中野栄,42,4
1024,多賀城,42,4
1025,下馬,42,4
1026,西塩釜,42,4
1027,本塩釜,42,4
1028,東塩釜,42,4
1029,陸前浜田,42,4
1030,松島海岸,42,4
1031,高城町,42,4
1032,手樽,42,4
1033,陸前富山,42,4
1034,陸前大塚,42,4
1035,東名,42,4
1036,野蒜,42,4
1037,陸前小野,42,4
1038,鹿妻,42,4
1039,矢本,42,4
1040,東矢本,42,4
1041,陸前赤井,42,4
1042,石巻あゆみ野,42,4
1043,蛇田,42,4
1044,陸前山下,42,4
1045,石巻,42,4
1046,小牛田,43,4
1047,上涌谷,43,4
1048,涌谷,43,4
1049,前谷地,43,4
1050,佳景山,43,4
1051,鹿又,43,4
1052,曽波神,43,4
1053,石巻,43,4
1054,陸前稲井,43,4
1055,渡波,43,4
1056,万石浦,43,4
1057,沢田,43,4
1058,浦宿,43,4
1059,女川,43,4
1060,前谷地,44,4
1061,和渕,44,4
1062,のの岳,44,4
1063,陸前豊里,44,4
1064,御岳堂,44,4
1065,柳津,44,4
1066,陸前横山,44,4
1067,陸前戸倉,44,4
1068,志津川,44,4
1069,清水浜,44,4
1070,歌津,44,4
1071,陸前港,44,4
1072,蔵内,44,4
1073,陸前小泉,44,4
1074,本吉,44,4
1075,小金沢,44,4
1076,大谷海岸,44,4
1077,陸前階上,44,4
1078,最知,44,4
1079,松岩,44,4
1080,南気仙沼,44,4
1081,不動の沢,44,4
1082,気仙沼,44,4
1083,郡山,45,7
1084,郡山富田,45,7
1085,喜久田,45,7
1086,安子ケ島,45,7
1087,磐梯熱海,45,7
1088,中山宿,45,7
1089,上戸,45,7
1090,猪苗代湖畔,45,7
1091,関都,45,7
1092,川桁,45,7
1093,猪苗代,45,7
1094,翁島,45,7
1095,磐梯町,45,7
1096,東長原,45,7
1097,広田,45,7
1098,会津若松,45,7
1099,会津若松,46,7
1100,堂島,46,7
1101,笈川,46,7
1102,塩川,46,7
1103,姥堂,46,7
1104,会津豊川,46,7
1105,喜多方,46,7
1106,山都,46,7
1107,荻野,46,7
1108,尾登,46,7
1109,野沢,46,7
1110,上野尻,46,7
1111,徳沢,46,7
1112,豊実,46,15
1113,日出谷,46,15
1114,鹿瀬,46,15
